ID,UF_CLIENTID_BANK,UF_CLIENTID_FOND,UF_GUID_AP
367,6327,999-9003-000036491,1D9F4566-BF3D-4BB0-B6AF-974BDECB2496
366,6174,999-9003-000036338,EAFEE1C4-C181-4862-A698-1D50D70BAF27
365,6135,999-9003-000036299,3C735D41-55F6-4179-AFAC-3A20344CEFC9
364,6126,999-9003-000036290,0F59E171-CDE6-4BA6-AB56-2BAB7BF7CA04
363,6074,999-9003-000036238,B245415D-10A4-4AA1-8C4B-84758BB3712B
362,6070,999-9003-000036234,54842A8B-3B04-4A51-9E01-0A598541806B
361,6069,999-9003-000036233,6CF55BF0-6BC1-46B2-AA59-E2E67E390D50
360,5997,999-9003-000036161,2F5A8A6A-5FB2-4740-BC10-2232FE8A0CAF
359,5974,999-9003-000036138,98170701-CC10-4DB0-AE29-F315446C3A8B
358,5972,999-9003-000036136,20B84B76-A187-4337-B029-E4BF163A8D8A
357,5883,999-9003-000036047,A92541DD-66FA-4DA1-BCF8-6313516D9739
356,5880,999-9003-000036044,BF1A853D-E1AB-4721-96CA-DDA2DD4E9A7A
355,5871,999-9003-000036035,A198DBD7-3767-4338-993B-055451021EEA
354,5598,999-9003-000035762,FE8E7C4D-8631-4952-8009-3493D3E409DA
353,5582,999-9003-000035746,E92D7A41-5EF0-4DC3-B16D-A80E8EF396E7
352,5549,999-9003-000035713,0FC0571A-011D-4401-97A1-51B53CFD07DA
351,5401,999-9003-000035565,A74E07E3-3A90-4EC0-A8B2-D0AE2417A638
350,5394,999-9003-000035558,D18F051E-0FF8-4A81-A52F-1D9C49054E54
349,5334,999-9003-000035498,5C248AF1-03BF-4A4B-BF3B-F1B87DC7BE94
348,5184,999-9003-000035348,E028BAE9-0506-4452-80FD-FAA12412A5B8
347,5155,999-9003-000035319,91945D24-04A4-47EE-BBFF-9529A8529830
346,5146,999-9003-000035310,E6493071-B8FB-4FB1-851C-59446CB415D6
345,5049,999-9003-000035213,0EB2EC95-1E0B-4FB1-AC29-1D11086FECFC
344,4904,999-9003-000035068,BDEFA958-6F36-412A-BE74-1B60B753BC89
343,4879,999-9003-000035043,A633B47F-F1BE-4582-8590-52C25F4B3204
342,4853,999-9003-000035017,FEE64C69-6FA9-40F8-B608-FA5772940E9E
341,4719,999-9003-000034883,C3632D1C-25F8-4F07-AA5C-D80B3D1BFD46
340,4706,999-9003-000034870,1695F52F-26BB-40D8-9963-D8D9C48EA476
339,4594,999-9003-000034758,4645937F-0869-4CD7-8783-FB2C77E66AD9
338,4580,999-9003-000034744,8AD29151-3CA8-4094-82F2-58FB2F65A88F
337,4569,999-9003-000034733,4B037B8D-C70C-4B58-A4EF-104AAE74B60F
336,4515,999-9003-000034679,8782CB00-AF3F-4171-8444-C656E3AC0A2E
335,4408,999-9003-000034572,58F074F2-E0E3-4E4E-8F11-DA700E45336E
334,4343,999-9003-000034507,68CD4974-4F0E-4A55-A564-5C420CC92E1E
333,4315,999-9003-000034479,278BAE69-8141-4A76-B4C2-5E4FA682E426
